Exp,Sample type
Exp068003,BLCA_N
Exp068004,BLCA_N
Exp068069,BLCA_N
Exp068070,BLCA_N
Exp068071,BLCA_N
Exp068078,BLCA_N
Exp068079,BLCA_N
Exp068080,BLCA_N
Exp068081,BLCA_N
Exp068082,BLCA_N
Exp067984,BLCA_T
Exp067985,BLCA_T
Exp067993,BLCA_T
Exp067996,BLCA_T
Exp068039,BLCA_T
Exp068088,BLCA_T
Exp068089,BLCA_T
Exp068094,BLCA_T
Exp068098,BLCA_T
Exp068294,BLCA_T
Exp058734,CRCA_N
Exp061354,CRCA_N
Exp061356,CRCA_N
Exp061358,CRCA_N
Exp061360,CRCA_N
Exp061362,CRCA_N
Exp061363,CRCA_N
Exp061365,CRCA_N
Exp061367,CRCA_N
Exp061369,CRCA_N
Exp058725,CRCA_T
Exp058733,CRCA_T
Exp061355,CRCA_T
Exp061357,CRCA_T
Exp061359,CRCA_T
Exp061361,CRCA_T
Exp061364,CRCA_T
Exp061366,CRCA_T
Exp061368,CRCA_T
Exp061370,CRCA_T
Exp040994,ESCA_N
Exp040995,ESCA_N
Exp040996,ESCA_N
Exp040997,ESCA_N
Exp040998,ESCA_N
Exp040999,ESCA_N
Exp041000,ESCA_N
Exp041002,ESCA_N
Exp041020,ESCA_N
Exp041021,ESCA_N
Exp031652,ESCA_T
Exp032097,ESCA_T
Exp033074,ESCA_T
Exp034481,ESCA_T
Exp034929,ESCA_T
Exp035710,ESCA_T
Exp036442,ESCA_T
Exp036626,ESCA_T
Exp038860,ESCA_T
Exp080644,ESCA_T
Exp055948,LC_N
Exp058662,LC_N
Exp058665,LC_N
Exp058670,LC_N
Exp063896,LC_N
Exp063921,LC_N
Exp063922,LC_N
Exp063926,LC_N
Exp064626,LC_N
Exp083116,LC_N
Exp051711,LC_T
Exp051718,LC_T
Exp051865,LC_T
Exp054993,LC_T
Exp055939,LC_T
Exp063913,LC_T
Exp063917,LC_T
Exp063918,LC_T
Exp063919,LC_T
Exp083104,LC_T
Exp042891,ML_N
Exp043889,ML_N
Exp043890,ML_N
Exp044764,ML_N
Exp044767,ML_N
Exp044772,ML_N
Exp044773,ML_N
Exp046495,ML_N
Exp049558,ML_N
Exp050662,ML_N
Exp042740,ML_T
Exp042883,ML_T
Exp042889,ML_T
Exp042894,ML_T
Exp042895,ML_T
Exp042896,ML_T
Exp042897,ML_T
Exp042898,ML_T
Exp045097,ML_T
Exp049559,ML_T
Exp034452,RCC_T
Exp034322,RCC_T
Exp034334,RCC_T
Exp034338,RCC_T
Exp038617,RCC_T
Exp045223,RCC_T
Exp034324,RCC_T
Exp038625,RCC_T
Exp034412,RCC_T
Exp045541,RCC_T
Exp034451,RCC_N
Exp034321,RCC_N
Exp034333,RCC_N
Exp034337,RCC_N
Exp038616,RCC_N
Exp034469,RCC_N
Exp034323,RCC_N
Exp038624,RCC_N
Exp034411,RCC_N
Exp045540,RCC_N