ID,Gene,sample_annot_Sample type,PSIP1
Exp079177,PSIP1,discovery_tumor_STAD,24.4474318
Exp079182,PSIP1,discovery_tumor_STAD,23.74948187
Exp079187,PSIP1,discovery_tumor_STAD,18.50562453
Exp079194,PSIP1,discovery_tumor_STAD,24.2182812
Exp079242,PSIP1,discovery_tumor_STAD,25.01673821
Exp079251,PSIP1,discovery_tumor_STAD,25.03714748
Exp079259,PSIP1,discovery_tumor_STAD,24.81445533
Exp079262,PSIP1,discovery_tumor_STAD,25.911976
Exp079267,PSIP1,discovery_tumor_STAD,25.66520042
Exp079277,PSIP1,discovery_tumor_STAD,25.24137049
Exp079298,PSIP1,discovery_tumor_STAD,25.01394396
Exp081464,PSIP1,discovery_tumor_STAD,26.40093729
Exp081493,PSIP1,discovery_tumor_STAD,25.95335239
Exp081583,PSIP1,discovery_tumor_STAD,23.70972823
Exp081585,PSIP1,discovery_tumor_STAD,25.6323157
Exp081623,PSIP1,discovery_tumor_STAD,25.08006662
Exp082931,PSIP1,discovery_tumor_STAD,22.22342257
Exp082946,PSIP1,discovery_tumor_STAD,24.02319842
Exp082947,PSIP1,discovery_tumor_STAD,21.59373411
Exp087319,PSIP1,discovery_tumor_STAD,24.86728214
Exp079164,PSIP1,discovery_tumor_STAD,26.73214844
Exp079173,PSIP1,discovery_tumor_STAD,25.4974702
Exp079224,PSIP1,discovery_tumor_STAD,25.02832783
Exp079250,PSIP1,discovery_tumor_STAD,25.66851517
Exp079258,PSIP1,discovery_tumor_STAD,25.30714177
Exp079264,PSIP1,discovery_tumor_STAD,25.97529119
Exp079268,PSIP1,discovery_tumor_STAD,26.540953
Exp079299,PSIP1,discovery_tumor_STAD,25.90671455
Exp081584,PSIP1,discovery_tumor_STAD,25.31205082
Exp087310,PSIP1,discovery_tumor_STAD,26.23241541
Exp087314,PSIP1,discovery_tumor_STAD,24.9940638
Exp087323,PSIP1,discovery_tumor_STAD,24.67354969
Exp074390,PSIP1,discovery_tumor_STAD,24.42815118
Exp076179,PSIP1,discovery_tumor_STAD,25.64207886
Exp079227,PSIP1,discovery_tumor_STAD,25.19752438
Exp079236,PSIP1,discovery_tumor_STAD,20.81629307
Exp079239,PSIP1,discovery_tumor_STAD,19.20167885
Exp079256,PSIP1,discovery_tumor_STAD,24.89957116
Exp079281,PSIP1,discovery_tumor_STAD,26.83347862
Exp079291,PSIP1,discovery_tumor_STAD,25.97245808
Exp079296,PSIP1,discovery_tumor_STAD,23.42058958
Exp079304,PSIP1,discovery_tumor_STAD,20.6971655
Exp082913,PSIP1,discovery_tumor_STAD,22.64144997
Exp082979,PSIP1,discovery_tumor_STAD,22.5282386
Exp083007,PSIP1,discovery_tumor_STAD,22.77335656
Exp087311,PSIP1,discovery_tumor_STAD,25.02183235
Exp087449,PSIP1,discovery_tumor_STAD,23.84611061
Exp041926,PSIP1,discovery_normal_normal,23.66852489
Exp041928,PSIP1,discovery_normal_normal,24.00336996
Exp041935,PSIP1,discovery_normal_normal,22.99742568
Exp042173,PSIP1,discovery_normal_normal,21.36449218
Exp042174,PSIP1,discovery_normal_normal,19.85377555
Exp042175,PSIP1,discovery_normal_normal,19.41461126
Exp042176,PSIP1,discovery_normal_normal,23.24681523
Exp042178,PSIP1,discovery_normal_normal,23.05188138
Exp042179,PSIP1,discovery_normal_normal,23.60150995
Exp042180,PSIP1,discovery_normal_normal,18.61996291
Exp042181,PSIP1,discovery_normal_normal,22.21302573
Exp042182,PSIP1,discovery_normal_normal,19.72026889
Exp042183,PSIP1,discovery_normal_normal,23.34117312
Exp042185,PSIP1,discovery_normal_normal,20.0493866
Exp042186,PSIP1,discovery_normal_normal,18.7300793
Exp042187,PSIP1,discovery_normal_normal,20.86981672
Exp042188,PSIP1,discovery_normal_normal,19.81262133
Exp042189,PSIP1,discovery_normal_normal,25.02051724
Exp042190,PSIP1,discovery_normal_normal,16.97926609
Exp042191,PSIP1,discovery_normal_normal,23.31671909
Exp042192,PSIP1,discovery_normal_normal,21.43054665
Exp042193,PSIP1,discovery_normal_normal,21.75481962
Exp042194,PSIP1,discovery_normal_normal,23.47535944
Exp042195,PSIP1,discovery_normal_normal,22.42535897
Exp042196,PSIP1,discovery_normal_normal,22.61638559
Exp042197,PSIP1,discovery_normal_normal,21.67197338
Exp042198,PSIP1,discovery_normal_normal,22.71536522
Exp042199,PSIP1,discovery_normal_normal,22.47894995
Exp042200,PSIP1,discovery_normal_normal,22.19474124
Exp042201,PSIP1,discovery_normal_normal,19.53854075
Exp042202,PSIP1,discovery_normal_normal,22.7774278
Exp042203,PSIP1,discovery_normal_normal,22.89803219
Exp042204,PSIP1,discovery_normal_normal,23.03963902
Exp042205,PSIP1,discovery_normal_normal,22.15741211
Exp042206,PSIP1,discovery_normal_normal,21.49104726
Exp042207,PSIP1,discovery_normal_normal,21.01552842
Exp042208,PSIP1,discovery_normal_normal,21.6724331
Exp042209,PSIP1,discovery_normal_normal,21.79755239
Exp042210,PSIP1,discovery_normal_normal,21.17113131
Exp042218,PSIP1,discovery_normal_normal,26.41449485
Exp042219,PSIP1,discovery_normal_normal,24.54609102
Exp042220,PSIP1,discovery_normal_normal,24.10756155
Exp042221,PSIP1,discovery_normal_normal,24.56029815
Exp042222,PSIP1,discovery_normal_normal,24.91180519
Exp042223,PSIP1,discovery_normal_normal,24.69168783
Exp042224,PSIP1,discovery_normal_normal,24.33029243
Exp042225,PSIP1,discovery_normal_normal,24.76818592
Exp042226,PSIP1,discovery_normal_normal,23.96016043
Exp042227,PSIP1,discovery_normal_normal,23.33664029
Exp042229,PSIP1,discovery_normal_normal,24.56354967
Exp042230,PSIP1,discovery_normal_normal,20.98562007
Exp042231,PSIP1,discovery_normal_normal,24.14573329
Exp042232,PSIP1,discovery_normal_normal,24.07901998
Exp042233,PSIP1,discovery_normal_normal,24.16862476
Exp042234,PSIP1,discovery_normal_normal,24.26382241
Exp042235,PSIP1,discovery_normal_normal,23.20096747
Exp042236,PSIP1,discovery_normal_normal,20.76888617
Exp042237,PSIP1,discovery_normal_normal,24.4528311
Exp042238,PSIP1,discovery_normal_normal,23.78824582
Exp042239,PSIP1,discovery_normal_normal,20.91049223
Exp042240,PSIP1,discovery_normal_normal,23.88848482
Exp042241,PSIP1,discovery_normal_normal,23.38536455
Exp042242,PSIP1,discovery_normal_normal,25.14633067
Exp042243,PSIP1,discovery_normal_normal,23.35041993
Exp042244,PSIP1,discovery_normal_normal,23.77597669
Exp042245,PSIP1,discovery_normal_normal,24.46304511
Exp042246,PSIP1,discovery_normal_normal,24.45989547
Exp042247,PSIP1,discovery_normal_normal,24.37728994
Exp042248,PSIP1,discovery_normal_normal,23.95930737
Exp042249,PSIP1,discovery_normal_normal,23.88726417
Exp042250,PSIP1,discovery_normal_normal,21.1811292
Exp042251,PSIP1,discovery_normal_normal,23.35012615
Exp042252,PSIP1,discovery_normal_normal,23.75419746
Exp042253,PSIP1,discovery_normal_normal,25.13387068
Exp042254,PSIP1,discovery_normal_normal,21.07585739
Exp042255,PSIP1,discovery_normal_normal,19.59595674
Exp042256,PSIP1,discovery_normal_normal,19.44738409
Exp042257,PSIP1,discovery_normal_normal,20.7763752
Exp042258,PSIP1,discovery_normal_normal,22.17667161
Exp042259,PSIP1,discovery_normal_normal,19.22427396
Exp042260,PSIP1,discovery_normal_normal,22.45014756
Exp042261,PSIP1,discovery_normal_normal,22.35650185
Exp042262,PSIP1,discovery_normal_normal,22.49777068
Exp042263,PSIP1,discovery_normal_normal,13.71204975
Exp042266,PSIP1,discovery_normal_normal,16.56676846
Exp042267,PSIP1,discovery_normal_normal,20.97945939
Exp042268,PSIP1,discovery_normal_normal,22.44364403
Exp042270,PSIP1,discovery_normal_normal,22.85681164
Exp042271,PSIP1,discovery_normal_normal,17.41879921
Exp042273,PSIP1,discovery_normal_normal,21.71903516
Exp042274,PSIP1,discovery_normal_normal,22.78914157
Exp042275,PSIP1,discovery_normal_normal,22.25456867
Exp042276,PSIP1,discovery_normal_normal,18.23388358
Exp042277,PSIP1,discovery_normal_normal,22.58811429
Exp042278,PSIP1,discovery_normal_normal,21.90573979
Exp042279,PSIP1,discovery_normal_normal,20.95729945
Exp042280,PSIP1,discovery_normal_normal,21.13911252
Exp042299,PSIP1,discovery_normal_normal,24.01403703
Exp042360,PSIP1,discovery_normal_normal,20.74992254
Exp042392,PSIP1,discovery_normal_normal,23.83078675
Exp042434,PSIP1,discovery_normal_normal,24.92549932
Exp042437,PSIP1,discovery_normal_normal,23.71057249
Exp042461,PSIP1,discovery_normal_normal,23.29974297
Exp042469,PSIP1,discovery_normal_normal,23.59013835
Exp042480,PSIP1,discovery_normal_normal,22.84997997
Exp042482,PSIP1,discovery_normal_normal,25.03386701
Exp042491,PSIP1,discovery_normal_normal,22.21839998
Exp042492,PSIP1,discovery_normal_normal,22.34443195
Exp042494,PSIP1,discovery_normal_normal,20.85503916
Exp042501,PSIP1,discovery_normal_normal,21.30382313
Exp042527,PSIP1,discovery_normal_normal,21.12529196
Exp042554,PSIP1,discovery_normal_normal,22.5567944
Exp042572,PSIP1,discovery_normal_normal,22.60460529
Exp042576,PSIP1,discovery_normal_normal,24.02576615
Exp042577,PSIP1,discovery_normal_normal,24.26523418
Exp042580,PSIP1,discovery_normal_normal,23.88487042
Exp042585,PSIP1,discovery_normal_normal,16.76871573
Exp042586,PSIP1,discovery_normal_normal,15.97981703
Exp042601,PSIP1,discovery_normal_normal,21.27979904
Exp042609,PSIP1,discovery_normal_normal,23.52990863
Exp042617,PSIP1,discovery_normal_normal,22.05479373
Exp042626,PSIP1,discovery_normal_normal,23.21693084
Exp042629,PSIP1,discovery_normal_normal,24.52382637
Exp042637,PSIP1,discovery_normal_normal,22.90697834
Exp042639,PSIP1,discovery_normal_normal,23.4852353
Exp042658,PSIP1,discovery_normal_normal,22.84411014
Exp042662,PSIP1,discovery_normal_normal,21.44815372
Exp042672,PSIP1,discovery_normal_normal,22.85651247
Exp042684,PSIP1,discovery_normal_normal,16.75768136
Exp043243,PSIP1,discovery_normal_normal,22.6608505
Exp043298,PSIP1,discovery_normal_normal,19.66295169
Exp043353,PSIP1,discovery_normal_normal,22.31058182
Exp043377,PSIP1,discovery_normal_normal,22.17060741
Exp043388,PSIP1,discovery_normal_normal,22.2248445
Exp044020,PSIP1,discovery_normal_normal,22.586401
Exp044021,PSIP1,discovery_normal_normal,22.25658564
Exp044034,PSIP1,discovery_normal_normal,23.14221428
Exp044035,PSIP1,discovery_normal_normal,23.68866503
Exp044036,PSIP1,discovery_normal_normal,23.78921055
Exp044045,PSIP1,discovery_normal_normal,23.13629516
Exp044053,PSIP1,discovery_normal_normal,23.6752451
Exp044060,PSIP1,discovery_normal_normal,23.2792467
Exp044086,PSIP1,discovery_normal_normal,23.61147888
Exp044088,PSIP1,discovery_normal_normal,23.18068221
Exp044104,PSIP1,discovery_normal_normal,22.85413149
Exp044110,PSIP1,discovery_normal_normal,23.98485031
Exp044137,PSIP1,discovery_normal_normal,23.25007257
Exp044170,PSIP1,discovery_normal_normal,22.96024991
Exp044181,PSIP1,discovery_normal_normal,24.3475942
Exp044186,PSIP1,discovery_normal_normal,24.0838622
Exp044208,PSIP1,discovery_normal_normal,25.2024072
Exp044211,PSIP1,discovery_normal_normal,25.47164253
Exp044227,PSIP1,discovery_normal_normal,24.22875191
Exp044228,PSIP1,discovery_normal_normal,24.86131258
Exp044238,PSIP1,discovery_normal_normal,23.67520769
Exp044255,PSIP1,discovery_normal_normal,25.04349628
Exp044270,PSIP1,discovery_normal_normal,24.48553519
Exp044282,PSIP1,discovery_normal_normal,24.77251346
Exp044283,PSIP1,discovery_normal_normal,24.93043301
Exp044307,PSIP1,discovery_normal_normal,24.51993402
Exp044308,PSIP1,discovery_normal_normal,21.78487064
Exp044323,PSIP1,discovery_normal_normal,24.36432408
Exp044332,PSIP1,discovery_normal_normal,23.67091902
Exp070502,PSIP1,discovery_normal_normal,21.92296833
Exp070513,PSIP1,discovery_normal_normal,22.58702711
Exp070517,PSIP1,discovery_normal_normal,21.5603826
Exp070568,PSIP1,discovery_normal_normal,23.15816534
