Exp,Sample type,ACTA1_large_than_RPRD1B,ACTA2_large_than_GAPDH,ACTN1_large_than_ASAH1,ACTN1_large_than_ICAM1,ACTN1_large_than_PEPD,ALDOC_large_than_LAMB1,APOA4_large_than_PRDX6,ASAH1_large_than_CALR,ASAH1_large_than_CFL1,ASAH1_large_than_DYNC1H1,ASAH1_large_than_ENO1,ASAH1_large_than_HNRNPA2B1,ASAH1_large_than_HSPA8,ASAH1_large_than_HSPD1,ASAH1_large_than_ICAM1,ASAH1_large_than_LAMB1,ASAH1_large_than_MRC1,ASAH1_large_than_PNP,ASAH1_large_than_PSEN1,ASAH1_large_than_TIMP1,ASAH1_large_than_TPM2,ASAH1_large_than_TPM4,ASAH1_large_than_TXN,ASAH1_large_than_VCP,ASAH1_large_than_WDR12,ASAH1_large_than_YWHAE,ASAH1_large_than_YWHAG,ASAH1_large_than_YWHAQ,CALR_large_than_FKBP4,CFL1_large_than_ICAM1,CFL1_large_than_PEPD,CFL1_large_than_YWHAG,CPQ_large_than_SOD1,ENO1_large_than_ICAM1,ENO1_large_than_PEPD,HSPA8_large_than_PSEN1,HSPD1_large_than_ICAM1,ICAM1_large_than_TPM4,LAMB1_large_than_TXN,MRC1_large_than_TXN,PEPD_large_than_YWHAE
Exp074385,BLCA,1,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1
Exp082723,BLCA,-1,1,1,-1,-1,0,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1
Exp082724,BLCA,-1,1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,-1,-1,1,1,1,1,-1,1
Exp082725,BLCA,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,-1
Exp082726,BLCA,-1,1,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1,-1,0,1,1,-1,-1,1
Exp082727,BLCA,0,-1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,1,1,0,-1,1
Exp082728,BLCA,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1
Exp082729,BLCA,-1,-1,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,1
Exp082730,BLCA,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1
Exp082731,BLCA,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,-1
Exp082732,BLCA,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,-1
Exp082733,BLCA,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,0,1,1,-1,-1,1
Exp082734,BLCA,-1,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,-1,0,-1,-1,1,-1,-1
Exp082737,BLCA,0,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,1,-1,-1
Exp082738,BLCA,-1,-1,1,-1,1,1,1,-1,1,0,-1,-1,1,-1,-1,1,1,1,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1
Exp082740,BLCA,1,1,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,-1,-1,-1
Exp082741,BLCA,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,0,1,1,-1,-1,-1
Exp082742,BLCA,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,-1
Exp082735,BLCA,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1
Exp082736,BLCA,-1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,1,1,1,-1,-1
Exp082743,BLCA,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,1,1,-1,1,-1,1,-1,-1
Exp082744,BLCA,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,1,-1,1,-1,-1,-1,-1
Exp082745,BLCA,0,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1
Exp082746,BLCA,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,-1,-1,0,1,-1,1,-1,-1
Exp082747,BLCA,-1,1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1
Exp082748,BLCA,1,1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1
Exp082749,BLCA,0,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,1,0,-1,1,1,1,1
Exp082751,BLCA,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,-1
Exp082709,BLCA,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Exp082900,BLCA,1,1,1,1,1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1,0,1,1,1,0,-1,1,-1,1,0
Exp082716,BLCA,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1
Exp076181,BLCA,-1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,-1,-1,1,1,-1,0,1,1
Exp081627,BLCA,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,0,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,0,1,-1,-1,-1
Exp081626,BLCA,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,-1,1,0,1,-1,-1,-1,1,1,0,0,-1
Exp081625,BLCA,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,1,1,0,-1,1,-1,1,1,1,1,-1,0,-1,-1,-1
Exp081629,BLCA,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,-1,-1,-1,1,0,1,1,0,1,0,-1,-1,1
Exp081624,BLCA,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,-1,-1,-1,0,0,1,1,1
Exp081628,BLCA,-1,-1,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,-1,1,-1,0,-1,-1,0,1,0,1,1,0,-1,1,1,1,1,1,-1,-1,1
Exp081630,BLCA,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,-1
Exp081631,BLCA,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
Exp081632,BLCA,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,-1,-1,1,-1,-1,1,-1,0,-1,1,-1,1,0,0,1,-1
Exp081633,BLCA,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1
Exp081634,BLCA,-1,1,-1,1,-1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,-1,1,-1,-1,1,1,1,0,-1,1
Exp081635,BLCA,0,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,-1,-1,0,1,-1,-1,0,1,1,-1,0,-1,0,-1,-1,0,1,1,1,0,1,1,-1,1,1,0,-1,0
Exp081636,BLCA,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,0,0,-1,0,-1,-1
Exp081638,BLCA,0,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,1
Exp081639,BLCA,-1,1,-1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,-1,-1,-1,0,-1,-1,1,0,0,0,0,-1
Exp081640,BLCA,-1,-1,1,-1,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,0,-1,-1,0,-1,0,0,1,-1,-1,0,1,-1,1,-1,1,0,0,0
Exp081641,BLCA,0,-1,-1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,1,0,1,1,0,1,-1
Exp081642,BLCA,0,-1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1
Exp081643,BLCA,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,0
Exp081644,BLCA,0,-1,1,-1,1,-1,0,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,0,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,-1,-1,1
Exp081645,BLCA,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,-1,-1,1,1,0
Exp081646,BLCA,1,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1
Exp081648,BLCA,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1
Exp081649,BLCA,0,-1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,1,-1,0
Exp081650,BLCA,1,-1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1
Exp081651,BLCA,1,1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1
Exp081652,BLCA,1,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,-1,0,1,-1,1,1,1
Exp081653,BLCA,-1,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1
Exp081654,BLCA,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,-1,1,-1,-1,1,-1,-1,-1
Exp081655,BLCA,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1
Exp081656,BLCA,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1
Exp081657,BLCA,-1,1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,-1,1
Exp081658,BLCA,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
Exp081659,BLCA,1,1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1
Exp081660,BLCA,-1,-1,-1,1,1,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1
Exp081661,BLCA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1
Exp081662,BLCA,1,1,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1
Exp081663,BLCA,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1
Exp081664,BLCA,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,-1,-1,1,1,-1
Exp081665,BLCA,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,1
Exp081666,BLCA,0,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,1,-1,-1,-1,-1,-1
Exp081667,BLCA,-1,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1
Exp081668,BLCA,-1,-1,1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,1,1,0,1,1,-1,-1,0,-1,-1,-1
Exp081669,BLCA,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,-1,1,1,-1,1,1,1,0,1,-1,1,-1,1,-1,-1,1
Exp081670,BLCA,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1
Exp081671,BLCA,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1
Exp081672,BLCA,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1
Exp081673,BLCA,-1,1,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1
Exp081674,BLCA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1
Exp081675,BLCA,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1
Exp081676,BLCA,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1
Exp081677,BLCA,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,0,-1,-1,1,-1,1
Exp081678,BLCA,-1,0,1,1,-1,0,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,-1,1,1,-1
Exp081679,BLCA,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1
Exp081680,BLCA,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1
Exp081681,BLCA,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1
Exp081682,BLCA,-1,1,-1,-1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,1,-1,0,1,1,1
Exp081683,BLCA,-1,-1,1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,0,1,1,-1,-1,1,1,1,-1
Exp081684,BLCA,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1
Exp081685,BLCA,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1,1
Exp081686,BLCA,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1
Exp081687,BLCA,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Exp081688,BLCA,1,-1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
