Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp042261,normal,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1
Exp042262,normal,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,0,1,1,1,1,1
Exp042263,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,0,0,0,1,-1,-1,-1,1,1,0,-1,-1,-1,1,0,-1,0,0,0,1,1,1,-1,-1,-1,-1
Exp042264,normal,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,0,0,0,0,-1,-1,-1,0,1,0,-1,1,-1,1,-1,1,1,1,-1,-1,0,1,-1,-1,1,1
Exp042265,normal,-1,-1,-1,0,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,0,1,1,1,1,1,0,1,-1,0,0,-1,1,0,1,-1,-1,-1,1
Exp042266,normal,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,0,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,0,1,1,-1,1,1
Exp042267,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1
Exp042268,normal,-1,-1,-1,1,1,1,1,0,1,-1,1,0,-1,1,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,0,0,1,1,1,1,1,0,1,-1,-1,0,1
Exp042269,normal,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,1,-1
Exp042270,normal,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1
Exp042271,normal,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,1,1,1,0,0,1,1,1,-1,1,1,1,-1,-1,0,1
Exp042272,normal,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1
Exp042273,normal,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
Exp042274,normal,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,-1
Exp042275,normal,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1
Exp042276,normal,-1,-1,-1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,1,0,-1,1,1,-1,1,0,1,1,-1,0,-1
Exp042277,normal,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1
Exp042278,normal,-1,1,-1,-1,0,0,0,0,1,-1,1,1,-1,1,1,-1,-1,0,0,-1,1,1,0,1,0,-1,1,-1,1,0,1,1,1,1,1,0,1,-1,-1,1,1
Exp042279,normal,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,0,1,1,1,1,-1,-1,1,-1
Exp042280,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,0,-1,1,-1,0,1,0,-1,1,-1,1,-1,-1,1,1,-1,1,0,1,-1,-1,0,-1
Exp042203,normal,-1,1,-1,-1,1,1,1,0,1,-1,1,0,-1,1,1,-1,-1,0,0,1,-1,1,-1,1,0,-1,1,-1,0,0,1,1,1,-1,1,-1,1,-1,1,0,-1
Exp042204,normal,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1
Exp042205,normal,-1,-1,-1,-1,1,0,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,0,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,0,1,-1,-1,0,-1
Exp042206,normal,-1,-1,-1,1,1,1,1,1,0,1,-1,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1
Exp042207,normal,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,0,0,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1
Exp042208,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,0,1,1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1
Exp042209,normal,-1,-1,-1,1,1,0,1,1,1,1,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1
Exp042210,normal,-1,1,-1,1,1,0,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,0,-1,-1,-1,0,1,0,-1,1,-1,-1,-1,1,-1,1,1,1,0,1,-1,-1,-1,1
Exp042299,normal,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1
Exp042218,normal,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,0,-1,1,1,-1,-1,1
Exp042434,normal,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,-1,-1,1,1,0,0,-1,0,1,-1,-1,1,1,0,1,-1,1,-1,0,-1,0,0,-1,1,-1,0,1,-1,-1,0
Exp042437,normal,0,0,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,0,1,1,-1,-1,1
Exp042461,normal,-1,1,1,1,1,0,1,1,-1,-1,0,1,-1,1,1,-1,-1,0,1,1,1,-1,0,1,1,-1,-1,-1,1,1,-1,1,1,1,1,0,1,-1,-1,1,1
Exp042469,normal,-1,-1,-1,0,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,-1,1,1,1,-1
Exp042480,normal,-1,-1,-1,1,1,0,1,1,1,1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,1,1,-1,0,0,1,-1,-1,1,1
Exp042482,normal,-1,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,1,1,0,0,0,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1
Exp042491,normal,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1
Exp042492,normal,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1
Exp042494,normal,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,0,-1,1,1,1,1,1,0,-1,-1,-1,-1,-1
Exp042501,normal,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,-1,-1,-1
Exp042527,normal,-1,-1,-1,0,1,1,1,1,0,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0,0,1,-1,-1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,-1,1
Exp042554,normal,-1,-1,-1,1,0,0,0,0,-1,-1,1,0,-1,1,1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,1,0,0,1,1,-1,-1,-1,-1,0,-1
Exp042576,normal,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1
Exp042577,normal,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1
Exp042580,normal,-1,-1,-1,-1,0,0,0,0,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1
Exp042572,normal,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1
Exp042585,normal,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1
Exp042586,normal,-1,1,1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,0,0,0,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1
Exp042596,normal,-1,-1,-1,0,1,1,1,1,1,-1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,0,1,1,-1,1,1
Exp042601,normal,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,0,1,0,-1,-1,1,-1,-1,-1,1,1,1,1,0,-1,1,-1,1,-1
Exp042609,normal,-1,1,1,-1,1,1,1,0,1,-1,1,0,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,0,0,-1,-1,1,1,0,1,-1,-1,1,0,-1
Exp042617,normal,-1,-1,-1,0,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,1,-1,-1,1,1
Exp042626,normal,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,0,1,1,-1,-1,-1,1
Exp042629,normal,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1
Exp042637,normal,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,1,-1,-1
Exp042639,normal,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,0,1,-1,-1,1,-1,-1
Exp042658,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,0,0,1,-1,-1,1,1,0,-1,1,-1,1,-1,-1,1,1,1,0,1,1,-1,1,1,1
Exp042662,normal,-1,1,0,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,1,-1,1,1,1,0,1,-1,-1,1,-1
Exp042665,normal,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1
Exp042672,normal,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1
Exp042684,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1
Exp044053,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,1,-1,-1,1,-1
Exp044020,normal,0,0,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,0,1,1,-1,1,1,0,-1,-1,-1,1,0,-1,1,1,1,0,1,1,-1,-1,1,1
Exp044021,normal,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,0,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1
Exp044024,normal,-1,-1,-1,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1
Exp044026,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,1,0,-1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1
Exp044033,normal,0,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1
Exp044034,normal,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,-1,1,1,-1,-1,1,1,1,-1,-1,1
Exp044035,normal,0,0,0,1,1,1,0,1,-1,-1,1,1,-1,1,1,-1,-1,0,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1
Exp044036,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1
Exp044086,normal,-1,1,-1,0,1,1,1,0,1,1,1,0,-1,1,1,-1,-1,0,0,0,0,0,1,-1,-1,-1,1,-1,0,0,1,1,1,1,-1,1,1,-1,1,0,1
Exp044104,normal,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,-1,1,1,0,0,0,0,1,1,-1,-1,1,0,-1,1,-1,-1,1,1,1,1,1,0,1,1,-1,-1,1,-1
Exp044045,normal,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,0,0,0,1,1,1,1,1,1,-1,-1,1,-1,-1,0,1,1,1,-1,1,1,1,-1,-1,1,1
Exp044060,normal,-1,-1,-1,1,0,0,0,0,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,0,-1,1,1,-1,1,0,1,1,-1,1,1
Exp044099,normal,-1,-1,-1,-1,1,1,1,0,1,1,-1,0,-1,1,1,-1,-1,0,0,1,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,1,-1,0,1,1,1,-1,0,-1
Exp044088,normal,-1,-1,-1,-1,1,1,1,0,1,-1,1,0,-1,1,1,0,0,1,1,1,1,1,0,1,1,-1,-1,-1,0,0,-1,1,1,1,1,0,-1,1,-1,0,-1
Exp041926,normal,-1,-1,-1,1,-1,1,-1,0,1,-1,1,0,-1,1,-1,0,0,0,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,1,1,1,-1,1,0,-1,-1,-1,0,-1
Exp044110,normal,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,-1,1,-1,-1,1,-1
Exp044137,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,0,0,1,-1,-1,-1,0,1,0,-1,1,-1,1,0,1,0,0,0,1,0,0,-1,-1,-1,0
Exp044308,normal,-1,-1,-1,0,1,1,-1,1,1,-1,-1,1,-1,1,1,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,1,1,1,0,0,0,-1,1,1,-1,-1,1,1
Exp044170,normal,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,1
Exp044186,normal,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1
Exp044181,normal,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1
Exp044208,normal,-1,-1,-1,1,0,0,0,0,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1
Exp044211,normal,-1,-1,-1,-1,-1,1,-1,0,-1,1,1,0,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,-1,-1,0,0,-1,1,1,-1,0,-1,1,-1,-1,0,1
